species,habitat,phyllary_length,phyllary_width,primary_axis_leaf_length,primary_axis_leaf_width,secondary_axis_leaf_length,secondary_axis_leaf_width,bract_length,bract_width,auricle_length,primary_axis_hair_length,below_capitulum_hair_length,ray_length,ray_width
Symphyotrichum adnatum,0,-0.994810733,-0.04666181,-1.101250982,-0.577754584,-0.58695429,-0.175311918,-0.697507354,-0.09226527,-0.227894522,0.422762816,-0.333564899,0.083982352,0.592891799
Symphyotrichum amethystinum,3,-0.856195567,-0.017775376,-0.430237906,-0.197365249,-0.177942506,0.316812224,-0.163563872,0.025464346,-0.227894522,1.895572699,1.143211123,-0.761592784,-0.702382447
Symphyotrichum campestre,5,-0.307591878,-0.016195649,-0.203481764,-0.14917193,-0.423852396,0.005220396,-0.256137965,-0.053308511,-0.227894522,-0.786102643,-0.880840719,0.52604595,3.183440291
Symphyotrichum concolor,3,-0.994810733,-0.031315892,-0.677637115,-0.002457951,-0.281648913,0.624064334,-0.47831579,-0.085390548,-0.227894522,-0.786102643,-0.880840719,0.615266426,1.043421971
Symphyotrichum ericoides,0,-1.041015789,-0.078933373,-0.742757293,-0.597849953,-0.307051745,-0.420361387,-0.240609408,0.693362693,-0.227894522,0.739496124,-0.310399785,-1.060463023,-0.839760019
Symphyotrichum falcatum,4,-0.666169141,-0.070658613,-0.693092949,-0.451550923,-0.526354132,-0.461444061,-0.314071431,-0.106587607,-0.227894522,1.130133871,0.378762359,-0.376684143,-0.142632839
Symphyotrichum fendleri,3,-1.081689253,-0.01281052,-0.685440648,-0.549300964,-0.232309805,-0.192670794,-0.327210979,-0.020940028,-0.227894522,1.731927157,2.09008516,-0.181476103,0.7439218
Symphyotrichum georgianum,2,0.235154831,6.714794824,-0.753721559,0.025462164,-0.501789332,0.105901878,-0.505789392,-0.068203742,1.390643532,-0.786102643,-0.029522777,1.542351628,1.565627399
Symphyotrichum hintonii,1,1.353837797,0.003663774,-0.771052661,-0.301398798,-0.54421468,-0.281201063,-0.342142285,-0.092838163,-0.227894522,0.934814998,0.561187632,0.547341372,0.121882982
Symphyotrichum moranense,3,0.875517855,-0.037409124,-0.546549864,-0.498262283,-0.393264243,-0.528275735,-0.425558511,-0.108783699,-0.227894522,-0.786102643,0.344014688,0.340873684,0.379572588
Symphyotrichum novae-angliae,1,1.161533657,-0.017324025,-0.752768802,-0.059898697,0.690834348,2.069190783,1.967432039,0.175275998,0.751209634,1.784716041,1.03896811,1.140308739,0.124442813
Symphyotrichum oblongifolium,3,-0.071360397,-0.052078016,-0.650052534,-0.228130726,-0.23828078,0.074655901,-0.150424323,-0.037267493,-0.227894522,0.148260616,0.326640852,0.867139871,0.45210112
Symphyotrichum patens,1,-0.711723421,-0.016195649,-0.237418057,0.368506122,0.754158108,3.122874572,0.321404928,0.019735411,0.336366451,-0.036500481,0.074720237,0.703752578,1.478593161
Symphyotrichum phlogifolium,1,0.145347821,-0.018001051,-0.485679284,0.667091299,-0.785253511,-0.178783693,-0.446064171,-0.104296033,1.15862833,-0.786102643,-0.324877981,1.082664233,1.125336548
Symphyotrichum pratense,1,3.166572759,0.41574681,-0.75077255,-0.12142965,0.179216074,1.342721812,2.26964166,0.411594569,-0.227894522,-0.469369335,1.282201807,2.495138202,2.315657743
Symphyotrichum sericeum,0,-1.154901489,0.10205819,-0.935652758,-0.260496719,0.026170558,1.178680431,1.615650483,0.502971084,-0.227894522,1.145970536,0.474318454,0.294733602,-0.262091597
Symphyotrichum turneri,0,0.126475334,-0.073517166,-0.757850173,-0.579829327,-0.450407521,-0.499633589,-0.296552032,0.637505576,-0.227894522,-0.786102643,-0.880840719,0.294611215,-0.190416342
Symphyotrichum walteri,2,-0.858147893,-0.049595588,-1.082967123,-0.382135945,-0.998637299,-0.686530823,-0.609114026,-0.079375166,-0.227894522,-0.295166016,-0.611546268,-0.116855511,0.766960275
Symphyotrichum yukonense,2,1.949297316,-0.047790186,-0.057120156,-0.375378211,0.158789054,-0.069422772,0.679159006,-0.098567098,-0.227894522,0.871468336,5.182627889,1.413110444,1.053661294